secid,date,days,forward_price,strike_price,premium,impl_volatility,cp_flag,ticker,index_flag
107929,20120501,152,53.054251,53.054251,2.623379,0.192109,P,NGG,0
107929,20120501,182,53.076199,53.076199,2.884074,0.192974,P,NGG,0
107929,20120502,30,52.996265,52.996265,1.386195,0.118803,C,NGG,0
107929,20120502,60,53.018991,53.018991,1.427046,0.118748,C,NGG,0
107929,20120502,91,53.040918,53.040918,1.509911,0.119654,C,NGG,0
107929,20120502,122,53.062974,53.062974,1.629467,0.120358,C,NGG,0
107929,20120502,152,53.084672,53.084672,1.733858,0.119975,C,NGG,0
107929,20120502,182,53.106641,53.106641,1.841981,0.119357,C,NGG,0
107929,20120502,30,52.996265,52.996265,1.546084,0.255126,P,NGG,0
107929,20120502,60,53.018991,53.018991,2.184546,0.254795,P,NGG,0
107929,20120502,91,53.040918,53.040918,2.110136,0.199707,P,NGG,0
107929,20120502,122,53.062974,53.062974,2.438665,0.199285,P,NGG,0
107929,20120502,152,53.084672,53.084672,2.715899,0.198795,P,NGG,0
107929,20120502,182,53.106641,53.106641,2.958835,0.197884,P,NGG,0
107929,20120503,30,52.946475,52.946475,1.828855,0.207921,C,NGG,0
107929,20120503,60,52.969286,52.969286,1.734905,0.167624,C,NGG,0
107929,20120503,91,52.991206,52.991206,1.722357,0.144737,C,NGG,0
107929,20120503,122,53.013247,53.013247,1.770093,0.134173,C,NGG,0
107929,20120503,152,53.034936,53.034936,1.825398,0.128694,C,NGG,0
107929,20120503,182,53.056805,53.056805,1.899249,0.124158,C,NGG,0
107929,20120503,30,52.946475,52.946475,1.444485,0.238558,P,NGG,0
107929,20120503,60,52.969286,52.969286,2.03612,0.237677,P,NGG,0
107929,20120503,91,52.991206,52.991206,2.027161,0.192015,P,NGG,0
107929,20120503,122,53.013247,53.013247,2.347099,0.191959,P,NGG,0
107929,20120503,152,53.034936,53.034936,2.613468,0.191449,P,NGG,0
107929,20120503,182,53.056805,53.056805,2.84473,0.1904,P,NGG,0
107929,20120504,30,52.836692,52.836692,1.994899,0.23998,C,NGG,0
107929,20120504,60,52.859554,52.859554,2.175105,0.226145,C,NGG,0
107929,20120504,91,52.88144,52.88144,1.705817,0.143777,C,NGG,0
107929,20120504,122,52.903441,52.903441,1.648498,0.123209,C,NGG,0
107929,20120504,152,52.925096,52.925096,1.72842,0.120717,C,NGG,0
107929,20120504,182,52.946922,52.946922,1.832234,0.119385,C,NGG,0
107929,20120504,30,52.836692,52.836692,1.548869,0.256333,P,NGG,0
107929,20120504,60,52.859554,52.859554,2.175725,0.25453,P,NGG,0
107929,20120504,91,52.88144,52.88144,2.071372,0.19662,P,NGG,0
107929,20120504,122,52.903441,52.903441,2.395784,0.196361,P,NGG,0
107929,20120504,152,52.925096,52.925096,2.668072,0.195871,P,NGG,0
107929,20120504,182,52.946922,52.946922,2.908633,0.195101,P,NGG,0
107929,20120507,30,53.197665,53.197665,1.363406,0.125996,C,NGG,0
107929,20120507,60,53.220919,53.220919,1.434936,0.125892,C,NGG,0
107929,20120507,91,53.242972,53.242972,1.458723,0.115421,C,NGG,0
107929,20120507,122,53.265285,53.265285,1.562233,0.11677,C,NGG,0
107929,20120507,152,53.287349,53.287349,1.731303,0.120843,C,NGG,0
107929,20120507,182,53.309659,53.309659,1.886726,0.12392,C,NGG,0
107929,20120507,30,53.197665,53.197665,1.566108,0.257409,P,NGG,0
107929,20120507,60,53.220919,53.220919,2.194602,0.254993,P,NGG,0
107929,20120507,91,53.242972,53.242972,2.201722,0.2076,P,NGG,0
107929,20120507,122,53.265285,53.265285,2.54525,0.207228,P,NGG,0
107929,20120507,152,53.287349,53.287349,2.815643,0.205334,P,NGG,0
107929,20120507,182,53.309659,53.309659,3.030842,0.201943,P,NGG,0
107929,20120508,30,53.328104,53.328104,1.384418,0.132835,C,NGG,0
107929,20120508,60,53.351762,53.351762,1.521488,0.141601,C,NGG,0
107929,20120508,91,53.374485,53.374485,1.6313,0.137388,C,NGG,0
107929,20120508,122,53.397712,53.397712,1.690095,0.128982,C,NGG,0
107929,20120508,152,53.420877,53.420877,1.852908,0.130851,C,NGG,0
107929,20120508,182,53.444323,53.444323,2.023446,0.133273,C,NGG,0
107929,20120508,30,53.328104,53.328104,1.595556,0.261609,P,NGG,0
107929,20120508,60,53.351762,53.351762,2.235592,0.259125,P,NGG,0
107929,20120508,91,53.374485,53.374485,2.313995,0.217672,P,NGG,0
107929,20120508,122,53.397712,53.397712,2.671919,0.21703,P,NGG,0
107929,20120508,152,53.420877,53.420877,2.932056,0.213317,P,NGG,0
107929,20120508,182,53.444323,53.444323,3.100164,0.206056,P,NGG,0
107929,20120509,30,53.213813,53.213813,1.837359,0.226309,C,NGG,0
107929,20120509,60,53.233014,53.233014,1.82137,0.184951,C,NGG,0
107929,20120509,91,53.256915,53.256915,1.665041,0.140975,C,NGG,0
107929,20120509,122,53.281202,53.281202,1.801153,0.140111,C,NGG,0
107929,20120509,152,53.305712,53.305712,1.909747,0.136287,C,NGG,0
107929,20120509,182,53.330249,53.330249,1.967699,0.12894,C,NGG,0
107929,20120509,30,53.213813,53.213813,1.731373,0.284516,P,NGG,0
107929,20120509,60,53.233014,53.233014,2.408015,0.279785,P,NGG,0
107929,20120509,91,53.256915,53.256915,2.057234,0.193907,P,NGG,0
107929,20120509,122,53.281202,53.281202,2.377834,0.193504,P,NGG,0
107929,20120509,152,53.305712,53.305712,2.626454,0.191423,P,NGG,0
107929,20120509,182,53.330249,53.330249,2.819672,0.18774,P,NGG,0
107929,20120510,30,53.223819,53.223819,1.755671,0.214606,C,NGG,0
107929,20120510,60,53.243029,53.243029,1.73678,0.175113,C,NGG,0
107929,20120510,91,53.266727,53.266727,1.650923,0.141299,C,NGG,0
107929,20120510,122,53.290464,53.290464,1.667269,0.128659,C,NGG,0
107929,20120510,152,53.314455,53.314455,1.795211,0.12743,C,NGG,0
107929,20120510,182,53.338555,53.338555,1.899574,0.124958,C,NGG,0
107929,20120510,30,53.223819,53.223819,1.568985,0.257762,P,NGG,0
107929,20120510,60,53.243029,53.243029,2.155177,0.250315,P,NGG,0
107929,20120510,91,53.266727,53.266727,2.167699,0.204306,P,NGG,0
107929,20120510,122,53.290464,53.290464,2.506225,0.203951,P,NGG,0
107929,20120510,152,53.314455,53.314455,2.761583,0.201278,P,NGG,0
107929,20120510,182,53.338555,53.338555,2.952897,0.196622,P,NGG,0
107929,20120511,30,53.763923,53.763923,1.367048,0.134865,C,NGG,0
107929,20120511,60,53.783605,53.783605,1.495833,0.13966,C,NGG,0
107929,20120511,91,53.807978,53.807978,1.634562,0.139319,C,NGG,0
107929,20120511,122,53.833141,53.833141,1.743406,0.133908,C,NGG,0
107929,20120511,152,53.858797,53.858797,1.888585,0.133991,C,NGG,0
107929,20120511,182,53.885041,53.885041,2.056598,0.134451,C,NGG,0
107929,20120511,30,53.763923,53.763923,1.497366,0.243514,P,NGG,0
107929,20120511,60,53.783605,53.783605,2.074879,0.238548,P,NGG,0
107929,20120511,91,53.807978,53.807978,2.11205,0.197041,P,NGG,0
107929,20120511,122,53.833141,53.833141,2.444225,0.196876,P,NGG,0
107929,20120511,152,53.858797,53.858797,2.71287,0.195704,P,NGG,0
107929,20120511,182,53.885041,53.885041,2.932321,0.193251,P,NGG,0
107929,20120514,30,53.083788,53.083788,1.807313,0.238129,C,NGG,0
107929,20120514,60,53.103966,53.103966,1.694084,0.174954,C,NGG,0
107929,20120514,91,53.128522,53.128522,1.750431,0.156371,C,NGG,0
107929,20120514,122,53.154509,53.154509,1.890382,0.150616,C,NGG,0
107929,20120514,152,53.181575,53.181575,2.028194,0.146758,C,NGG,0
107929,20120514,182,53.209106,53.209106,2.162997,0.144094,C,NGG,0
107929,20120514,30,53.083788,53.083788,1.489203,0.24529,P,NGG,0
107929,20120514,60,53.103966,53.103966,1.810924,0.210825,P,NGG,0
107929,20120514,91,53.128522,53.128522,2.035499,0.192314,P,NGG,0
107929,20120514,122,53.154509,53.154509,2.367082,0.193081,P,NGG,0
107929,20120514,152,53.181575,53.181575,2.699776,0.197239,P,NGG,0
107929,20120514,182,53.209106,53.209106,3.021314,0.201678,P,NGG,0
107929,20120515,30,52.373649,52.373649,1.973297,0.276948,C,NGG,0
107929,20120515,60,52.393816,52.393816,1.785217,0.193511,C,NGG,0
107929,20120515,91,52.418444,52.418444,1.854589,0.170447,C,NGG,0
107929,20120515,122,52.444572,52.444572,1.954202,0.15913,C,NGG,0
107929,20120515,152,52.471769,52.471769,2.044695,0.150217,C,NGG,0
107929,20120515,182,52.499746,52.499746,2.128475,0.143666,C,NGG,0
107929,20120515,30,52.373649,52.373649,1.585647,0.264731,P,NGG,0
107929,20120515,60,52.393816,52.393816,1.848958,0.218181,P,NGG,0
107929,20120515,91,52.418444,52.418444,2.17347,0.208169,P,NGG,0
107929,20120515,122,52.444572,52.444572,2.521991,0.208551,P,NGG,0
107929,20120515,152,52.471769,52.471769,2.817755,0.208688,P,NGG,0
107929,20120515,182,52.499746,52.499746,3.085904,0.208804,P,NGG,0
107929,20120516,30,52.153652,52.153652,1.766664,0.242303,C,NGG,0
107929,20120516,60,52.173771,52.173771,1.73197,0.185232,C,NGG,0
107929,20120516,91,52.197862,52.197862,1.950719,0.181695,C,NGG,0
107929,20120516,122,52.223041,52.223041,2.12505,0.174048,C,NGG,0
107929,20120516,152,52.248909,52.248909,2.197578,0.162823,C,NGG,0
107929,20120516,182,52.275494,52.275494,2.338529,0.159095,C,NGG,0
107929,20120516,30,52.153652,52.153652,1.757449,0.294678,P,NGG,0
107929,20120516,60,52.173771,52.173771,1.95932,0.232201,P,NGG,0
107929,20120516,91,52.197862,52.197862,2.240119,0.215477,P,NGG,0
107929,20120516,122,52.223041,52.223041,2.603768,0.216253,P,NGG,0
