<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBE.MC,D,20060502,000000,6.44,6.55,6.44,6.52,11955600,0
IBE.MC,D,20060503,000000,6.53,6.57,6.51,6.54,15993000,0
IBE.MC,D,20060504,000000,6.57,6.61,6.52,6.60,12117200,0
IBE.MC,D,20060505,000000,6.60,6.77,6.60,6.76,28170500,0
IBE.MC,D,20060508,000000,6.77,6.78,6.68,6.72,22442700,0
IBE.MC,D,20060509,000000,6.72,6.75,6.68,6.72,13837600,0
IBE.MC,D,20060510,000000,6.72,6.72,6.62,6.67,15796600,0
IBE.MC,D,20060511,000000,6.65,6.70,6.59,6.61,18504800,0
IBE.MC,D,20060512,000000,6.57,6.57,6.47,6.47,17845800,0
IBE.MC,D,20060515,000000,6.44,6.47,6.35,6.37,49997600,0
IBE.MC,D,20060516,000000,6.34,6.45,6.32,6.40,19591800,0
IBE.MC,D,20060517,000000,6.40,6.42,6.20,6.22,20667500,0
IBE.MC,D,20060518,000000,6.23,6.26,6.07,6.18,23025200,0
IBE.MC,D,20060519,000000,6.19,6.22,6.09,6.15,20886900,0
IBE.MC,D,20060522,000000,6.13,6.13,6.01,6.03,24338300,0
IBE.MC,D,20060523,000000,6.09,6.21,6.00,6.16,26500900,0
IBE.MC,D,20060524,000000,6.13,6.19,6.06,6.15,15938500,0
IBE.MC,D,20060525,000000,6.19,6.24,6.09,6.24,11971600,0
IBE.MC,D,20060526,000000,6.25,6.33,6.24,6.33,39964200,0
IBE.MC,D,20060529,000000,6.30,6.36,6.29,6.31,6199300,0
IBE.MC,D,20060530,000000,6.33,6.36,6.17,6.21,15024100,0
IBE.MC,D,20060531,000000,6.14,6.28,6.13,6.26,25711700,0
IBE.MC,D,20060601,000000,6.24,6.24,6.18,6.22,21758700,0
IBE.MC,D,20060602,000000,6.28,6.28,6.19,6.20,14491600,0
IBE.MC,D,20060605,000000,6.20,6.22,6.13,6.19,11806600,0
IBE.MC,D,20060606,000000,6.11,6.23,6.11,6.16,22729600,0
IBE.MC,D,20060607,000000,6.18,6.42,6.16,6.35,32981900,0
IBE.MC,D,20060608,000000,6.21,6.43,6.19,6.25,41856200,0
IBE.MC,D,20060609,000000,6.30,6.38,6.25,6.32,51520600,0
IBE.MC,D,20060612,000000,6.30,6.37,6.25,6.32,19522100,0
IBE.MC,D,20060613,000000,6.31,6.32,6.22,6.28,71578700,0
IBE.MC,D,20060614,000000,6.25,6.32,6.18,6.28,51538800,0
IBE.MC,D,20060615,000000,6.28,6.28,6.28,6.28,000,0
IBE.MC,D,20060616,000000,6.28,6.28,6.28,6.28,000,0
IBE.MC,D,20060619,000000,6.34,6.40,6.29,6.37,44236700,0
IBE.MC,D,20060620,000000,6.35,6.43,6.32,6.41,37106200,0
