,r,betaling_pendk_stat,værdi_pendk,værdi_pendk_stat,værdi_pendk_stat_aktier,betaling_gs_stat,værdi_gs,værdi_gs_stat,værdi_gs_stat_aktier,stat_forskel
30,-0.6999999999999997,8.744666550312498,8.744666550312498,-8.476501050312498,0.26816550000000094,7.249989904007811,7.249989904007811,-6.95421840400781,0.295771500000001,-1.5222826463046877
31,-0.6899999999999997,8.744666550312498,8.744666550312498,-8.438917821021757,0.30574872929074187,7.254984828007811,7.254984828007811,-6.91776113485781,0.3372236931500012,-1.5211566861639474
32,-0.6799999999999997,8.744666550312498,8.744666550312498,-8.397516047438423,0.34715050287407534,7.260487248007811,7.260487248007811,-6.87759972160781,0.38288752640000134,-1.5199163258306125
33,-0.6699999999999997,8.744666550312498,8.744666550312498,-8.352045441762497,0.39262110855000143,7.266530428007812,7.266530428007812,-6.83349137485781,0.4330390531500015,-1.518554066904687
34,-0.6599999999999997,8.744666550312498,8.744666550312498,-8.302247770549533,0.4424187797629646,7.273148688007812,7.273148688007812,-6.78518559760781,0.4879630904000018,-1.5170621729417233
35,-0.6499999999999997,8.744666550312498,8.744666550312498,-8.247856854710644,0.49680969560185373,7.280377404007812,7.280377404007812,-6.73242418525781,0.5479532187500019,-1.5154326694528342
36,-0.6399999999999997,8.744666550312498,8.744666550312498,-8.188598569512497,0.556067980800002,7.288253008007811,7.288253008007811,-6.674941225607809,0.6133117824000023,-1.5136573439046872
37,-0.6299999999999997,8.744666550312498,8.744666550312498,-8.12419084457731,0.6204757057351875,7.296812988007812,7.296812988007812,-6.612463098857809,0.6843498891500025,-1.5117277457195009
38,-0.6199999999999997,8.744666550312498,8.744666550312498,-8.054343663882866,0.6903228864296322,7.306095888007811,7.306095888007811,-6.544708477607808,0.7613874104000028,-1.5096351862750579
39,-0.6099999999999997,8.744666550312498,8.744666550312498,-7.978759065762495,0.7659074845500028,7.316141308007811,7.316141308007811,-6.4713883268578085,0.844752981150003,-1.5073707389046866
40,-0.5999999999999996,8.744666550312498,8.744666550312498,-7.897131142905088,0.8475354074074105,7.326989904007812,7.326989904007812,-6.392205904007809,0.9347840000000033,-1.504925238897279
41,-0.5899999999999996,8.744666550312498,8.744666550312498,-7.809146042355088,0.9355205079574107,7.338683388007811,7.338683388007811,-6.3068567588578075,1.0318266291500036,-1.50228928349728
